"GEOID","OBJECTID","DTH_CUM_CP","population"
"55069960800",2128848,11,3473
"55069960900",2590077,9,2757
"55069961000",2051286,22,3385
"55071000100",2644367,8,5502
"55071000200",1962705,4,2199
"55071000300",2551377,10,5758
"55071000400",2341642,6,3653
"55071000500",2711717,3,2932
"55071000600",2806307,15,5319
"55071000700",1857987,20,5463
"55071000800",2684253,11,3910
"55071005100",2224261,1,2404
"55071005200",2420365,5,4397
"55071005300",1922628,5,2033
"55071005400",1944768,2,2780
"55071010100",1938439,13,4301
"55071010200",2318413,5,5638
"55071010300",2827753,5,4274
"55071010400",2779977,7,6111
"55071010500",2253926,18,3412
"55071010600",2728133,5,5106
"55071010700",2682219,4,3993
"55071990000",1909445,0,0
"55073000100",2062626,11,2849
"55073000200",2517884,6,2954
"55073000300",2204311,16,4946
"55073000400",2564831,17,5898
"55073000500",1959266,3,2967
"55073000601",2212323,4,2111
"55073000602",2887658,15,4012
"55073000700",2529883,13,5869
"55073000800",1993261,15,3337
"55073000900",2112051,5,2236
"55073001000",2744696,4,3646
"55073001102",2031674,32,7860
"55073001103",2863831,6,5302
"55073001104",2785223,25,6320
"55073001201",2776969,26,8730
"55073001202",2029528,15,5782
"55073001300",2827143,12,6871
"55073001400",1974849,42,6955
"55073001500",2668451,11,4161
"55073001600",2456455,13,5978
"55073001700",2755151,12,3613
"55073001800",2234385,13,5384
"55073001900",2705092,21,5932
"55073002000",1989424,6,4035
"55073002100",2856322,20,7007
"55073002200",2164080,20,3551
"55073002300",2095640,23,7090
"55075960100",1925678,11,2879
"55075960200",2684800,4,3764
"55075960600",2365606,5,2393
"55075960700",2217863,5,2859
"55075960800",2524399,9,2580
"55075960900",2052787,7,2460
"55075961000",2403633,9,4020
"55075961100",2636529,28,5670
"55075961200",2659733,2,2680
"55075961300",2513999,3,2921
"55075961400",1941187,9,4431
"55075961500",2094816,13,3734
"55075990000",2655928,0,0
"55077960100",1949241,10,2734
"55077960200",2672950,8,2428
"55077960300",1933965,17,3918
"55077960400",2148592,2,2641
"55077960500",2702942,10,3583
"55078940101",2516587,3,1586
"55078940102",2896074,5,2972
"55079000101",2854514,22,4701
"55079000102",1983792,17,3458
"55079000201",2104570,7,5418
"55079000202",2776744,7,6845
"55079000301",2097960,4,1500
"55079000302",2388186,4,3179
"55079000303",2242921,2,1862
"55079000304",2402142,9,3401
"55079000400",2226217,4,2537
"55079000501",2216479,3,3925
"55079000502",2791143,6,4485
"55079000600",2880228,16,7029
"55079000700",2665554,25,3733
"55079000800",2794507,10,5037
"55079000900",2787751,8,3484
"55079001000",2641422,5,3631
"55079001100",2289993,6,2430
"55079001200",1856194,8,3087
"55079001300",2817420,9,3491
"55079001400",2130075,5,2653
"55079001500",2766892,12,3782
"55079001600",2145277,5,3219
"55079001700",2851377,7,4801
"55079001800",2496549,7,3074
"55079001900",2351228,12,3182
"55079002000",2172349,5,2365
"55079002100",2641831,4,2044
"55079002200",2806834,0,1999
"55079002300",2278158,16,4299
"55079002400",2406411,3,2483
"55079002500",2040100,2,2270
"55079002600",2631774,5,2863
"55079002700",1889912,0,1669
"55079002800",2678798,4,2501
"55079002900",2875949,3,2290
"55079003000",2456959,10,4635
"55079003100",2275798,7,3909
"55079003200",2816498,6,2632
"55079003300",2328842,8,5321
"55079003400",2586126,8,6464
"55079003500",2477716,11,3335
"55079003600",2436695,4,1998
"55079003700",1858563,3,2386
"55079003800",1986725,10,2167
"55079003900",1923955,4,2770
"55079004000",2450488,4,2487
"55079004100",2818113,5,2589
"55079004200",2003794,4,3392
"55079004300",2105210,18,5357
"55079004400",2292641,8,3069
"55079004500",2520700,10,2257
"55079004600",2209437,12,2214
"55079004700",2271316,7,4072
"55079004800",2162626,9,3891
"55079004900",2223301,11,4457
"55079005000",2550361,15,5367
"55079005100",2516459,8,3381
"55079005200",2079259,1,1634
"55079005300",1970834,0,2195
"55079005400",2597348,10,3487
"55079005500",2115418,5,3377
"55079005600",2302289,3,2222
"55079005700",1938343,4,2647
"55079005800",2251873,5,3811
"55079005900",2021032,8,3758
"55079006000",2470432,2,2319
"55079006100",2876365,3,2372
"55079006200",2217793,7,2860
"55079006300",1920970,10,2167
"55079006400",2714504,6,2020
"55079006500",2706838,3,2201
"55079006600",1961994,5,2175
"55079006700",2721039,3,1250
"55079006800",2041737,7,2375
"55079006900",2389314,3,2511
"55079007000",2517574,3,3078
"55079007100",1949781,1,2064
"55079007200",2100512,1,2987
"55079007300",1931803,2,2745
"55079007400",1856041,0,3901
"55079007500",2544232,1,2640
"55079007600",2498318,10,3597
"55079007700",1994946,8,3669
"55079007800",2175000,1,3160
"55079007900",2043959,0,2057
"55079008000",2637971,1,1858
"55079008100",1899175,2,1060
"55079008400",2143776,3,907
"55079008500",2778227,2,1287
"55079008600",2289374,1,1091
"55079008700",2418096,5,1053
"55079008800",2752310,2,1663
"55079008900",2166094,6,1338
"55079009000",1903578,4,2354
"55079009100",2899269,5,2262
"55079009200",2011565,3,1683
"55079009300",2672162,3,2634
"55079009400",2589848,1,2501
"55079009500",1889783,1,2256
"55079009600",2714096,4,2143
"55079009700",2066952,3,1589
"55079009800",2801104,2,1637
"55079009900",2442521,1,1166
"55079010600",2535382,1,1427
"55079010700",2289191,3,2461
"55079010800",2729378,1,2658
"55079011000",2576448,0,2527
"55079011100",2606722,2,1491
"55079011200",2632516,1,2295
"55079011300",2112513,9,2521
"55079011400",2505107,2,1487
"55079012200",2635425,2,2022
"55079012300",2557283,1,1090
"55079012400",2239881,3,2551
"55079012500",2818129,2,2039
"55079012600",2464201,7,2503
"55079012700",2553030,1,1179
"55079012800",2173818,1,3226
"55079012900",1970739,2,3217
"55079013000",2289694,2,1945
"55079013300",2350019,1,905
"55079013400",2341856,3,2375
"55079013500",2397400,0,1823
"55079013600",2028267,2,1981
"55079013700",1985496,3,1422
"55079014100",2337162,1,1504
"55079014300",2565179,1,2348
"55079014400",2060968,0,2829
"55079014600",2828678,0,3695
"55079014700",2919254,0,2635
"55079014800",2221629,1,2145
"55079014900",2520276,1,1400
"55079015700",2339549,7,3126
"55079015800",2710653,5,2515
"55079015900",2030286,9,3132
"55079016000",2829063,7,2963
"55079016100",2823098,2,3523
"55079016200",2194672,6,3835
"55079016300",1863682,8,3846
"55079016400",2310968,11,3965
"55079016500",2642669,4,2366
"55079016600",1872086,2,1871
"55079016700",2419248,9,3181
"55079016800",2895566,5,3518
"55079016900",1878495,11,3581
"55079017000",1864676,15,5222
"55079017100",1958622,4,3132
"55079017200",2375605,5,2884
"55079017300",2573739,7,4111
"55079017400",2601269,3,2760
