"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"891","Newham, 00BB (891)","234","Lambeth, 00AY (234)","1/6/2019 - 31/8/2019, Every day, Daily Average",2800,2325,3371
"891","Newham, 00BB (891)","235","Lambeth, 00AY (235)","1/6/2019 - 31/8/2019, Every day, Daily Average",2504,1989,3151
"891","Newham, 00BB (891)","236","Lambeth, 00AY (236)","1/6/2019 - 31/8/2019, Every day, Daily Average",2661,2205,3210
"891","Newham, 00BB (891)","237","Lambeth, 00AY (237)","1/6/2019 - 31/8/2019, Every day, Daily Average",2723,2237,3313
"891","Newham, 00BB (891)","238","Lambeth, 00AY (238)","1/6/2019 - 31/8/2019, Every day, Daily Average",2758,2290,3320
"891","Newham, 00BB (891)","239","Lambeth, 00AY (239)","1/6/2019 - 31/8/2019, Every day, Daily Average",2674,2201,3248
"891","Newham, 00BB (891)","240","Lambeth, 00AY (240)","1/6/2019 - 31/8/2019, Every day, Daily Average",2883,2406,3453
"891","Newham, 00BB (891)","241","Lambeth, 00AY (241)","1/6/2019 - 31/8/2019, Every day, Daily Average",2809,2287,3450
"891","Newham, 00BB (891)","242","Lambeth, 00AY (242)","1/6/2019 - 31/8/2019, Every day, Daily Average",2897,2379,3526
"891","Newham, 00BB (891)","243","Lambeth, 00AY (243)","1/6/2019 - 31/8/2019, Every day, Daily Average",2981,2460,3611
"891","Newham, 00BB (891)","244","Lambeth, 00AY (244)","1/6/2019 - 31/8/2019, Every day, Daily Average",3134,2639,3721
"891","Newham, 00BB (891)","245","Lambeth, 00AY (245)","1/6/2019 - 31/8/2019, Every day, Daily Average",2784,2355,3290
"891","Newham, 00BB (891)","246","Lambeth, 00AY (246)","1/6/2019 - 31/8/2019, Every day, Daily Average",2685,2276,3166
"891","Newham, 00BB (891)","247","Lambeth, 00AY (247)","1/6/2019 - 31/8/2019, Every day, Daily Average",3034,2465,3733
"891","Newham, 00BB (891)","248","Lambeth, 00AY (248)","1/6/2019 - 31/8/2019, Every day, Daily Average",2892,2430,3440
"891","Newham, 00BB (891)","249","Lambeth, 00AY (249)","1/6/2019 - 31/8/2019, Every day, Daily Average",2680,2257,3182
"891","Newham, 00BB (891)","250","Lambeth, 00AY (250)","1/6/2019 - 31/8/2019, Every day, Daily Average",3181,2554,3961
"891","Newham, 00BB (891)","251","Lambeth, 00AY (251)","1/6/2019 - 31/8/2019, Every day, Daily Average",3151,2683,3699
"891","Newham, 00BB (891)","252","Lambeth, 00AY (252)","1/6/2019 - 31/8/2019, Every day, Daily Average",2933,2495,3446
"891","Newham, 00BB (891)","253","Lambeth, 00AY (253)","1/6/2019 - 31/8/2019, Every day, Daily Average",3294,2640,4108
"891","Newham, 00BB (891)","254","Lambeth, 00AY (254)","1/6/2019 - 31/8/2019, Every day, Daily Average",2793,2339,3334
"891","Newham, 00BB (891)","255","Lambeth, 00AY (255)","1/6/2019 - 31/8/2019, Every day, Daily Average",3201,2589,3956
"891","Newham, 00BB (891)","257","Lewisham, 00AZ (257)","1/6/2019 - 31/8/2019, Every day, Daily Average",1700,1337,2160
"891","Newham, 00BB (891)","258","Lewisham, 00AZ (258)","1/6/2019 - 31/8/2019, Every day, Daily Average",1730,1391,2150
"891","Newham, 00BB (891)","259","Lewisham, 00AZ (259)","1/6/2019 - 31/8/2019, Every day, Daily Average",1999,1643,2431
"891","Newham, 00BB (891)","260","Lewisham, 00AZ (260)","1/6/2019 - 31/8/2019, Every day, Daily Average",1861,1508,2296
"891","Newham, 00BB (891)","261","Lewisham, 00AZ (261)","1/6/2019 - 31/8/2019, Every day, Daily Average",2164,1812,2583
"891","Newham, 00BB (891)","262","Newham, 00BB (262)","1/6/2019 - 31/8/2019, Every day, Daily Average",793,552,1137
"891","Newham, 00BB (891)","263","Newham, 00BB (263)","1/6/2019 - 31/8/2019, Every day, Daily Average",864,644,1159
"891","Newham, 00BB (891)","264","Newham, 00BB (264)","1/6/2019 - 31/8/2019, Every day, Daily Average",823,613,1104
